frame_id,track_id,x,y,w,h,confidence,global_id,similarity,label
54,2,28,176,167,306,0.7987,1,0.7782,Unknown
55,1,444,153,188,358,0.8631,1,0.8470,Khiem
55,2,25,176,167,304,0.8063,1,0.7782,Unknown
56,1,444,153,188,358,0.8631,1,0.8470,Khiem
56,2,22,177,171,308,0.8054,1,0.7782,Unknown
57,1,444,153,188,359,0.8635,1,0.8470,Khiem
57,2,20,178,173,310,0.8075,1,0.7782,Unknown
58,1,443,153,189,361,0.8612,1,0.8470,Khiem
58,2,19,179,172,309,0.8105,1,0.7782,Unknown
59,1,443,154,189,360,0.8616,1,0.8470,Khiem
59,2,19,179,173,310,0.8130,1,0.7782,Unknown
60,1,444,153,188,359,0.8620,1,0.8470,Khiem
60,2,20,177,178,315,0.8084,1,0.7782,Unknown
61,1,444,154,189,360,0.8611,1,0.8470,Khiem
61,2,21,177,180,317,0.8072,1,0.7782,Unknown
62,1,444,154,189,360,0.8607,1,0.8470,Khiem
62,2,21,177,181,318,0.8104,1,0.7782,Unknown
63,1,444,153,189,360,0.8616,1,0.8470,Khiem
63,2,22,177,183,322,0.8028,1,0.7782,Unknown
64,1,444,153,189,361,0.8611,1,0.8470,Khiem
64,2,22,176,187,328,0.7943,1,0.7782,Unknown
65,1,444,153,190,362,0.8607,1,0.8470,Khiem
65,2,23,175,186,327,0.7984,1,0.7782,Unknown
66,1,443,152,190,364,0.8597,1,0.8470,Khiem
66,2,28,175,180,317,0.7924,1,0.7782,Unknown
67,1,443,152,190,365,0.8607,1,0.8470,Khiem
67,2,29,170,180,317,0.7992,1,0.7782,Unknown
68,1,443,151,190,365,0.8597,1,0.8470,Khiem
68,2,30,161,185,327,0.7963,1,0.7782,Unknown
69,1,443,151,190,364,0.8569,1,0.8470,Khiem
69,2,27,152,189,338,0.8052,1,0.7782,Unknown
70,1,444,151,190,363,0.8569,1,0.8470,Khiem
70,2,20,142,197,359,0.8267,1,0.7782,Unknown
